ID,collection_date,longitude,latitude,days_collection
308,2024-08-28,4011657.05634961,2972123.51735965,219
234,2024-08-29,3999685.75994235,2945644.83830465,220
331,2024-08-30,3992438.49212631,2956435.57664542,221
232,2024-08-31,3993213.69971204,2940303.42915488,222
240,2024-08-31,3994913.05838298,2952127.66354042,222
253,2024-09-01,4025538.04440437,2959187.80555998,223
233,2024-09-02,4025519.14418414,2959390.25659904,224
338,2024-09-02,3991055.11474486,2958099.6944652,224
284,2024-09-03,3997202.47380415,2945614.81557378,225
297,2024-09-03,4015193.92317383,2969851.25686057,225
326,2024-09-03,4011574.64674366,2975088.92636842,225
283,2024-09-04,3995814.12331427,2957718.61321489,226
263,2024-09-06,4006833.76915355,2969735.75981635,228
268,2024-09-07,3990861.57380862,2954892.06040725,229
278,2024-09-08,4013196.0619622,2949894.76985175,230
315,2024-09-08,4016467.66323893,2963480.93836627,230
256,2024-09-09,4002062.02207316,2969069.63476149,231
314,2024-09-09,4037206.14993306,2961349.70794842,231
281,2024-09-10,4010167.52366087,2973986.04435563,232
353,2024-09-11,4022199.38162567,2960702.29717821,233
389,2024-09-11,3997857.19461725,2968051.63636227,233
269,2024-09-12,4013962.5161902,2975470.75316452,234
391,2024-09-12,4004867.57692653,2963137.00631542,234
377,2024-09-14,3999429.51321697,2960926.81401941,236
397,2024-09-14,4001010.29885652,2945123.23498857,236
310,2024-09-15,4004686.1229853,2963583.66704242,237
325,2024-09-15,4012638.33808674,2968995.91541858,237
296,2024-09-16,4000182.44080982,2970147.60538247,238
329,2024-09-18,3989760.68445417,2951326.66021436,240
471,2024-09-18,3999490.42039016,2967544.50246284,240
309,2024-09-19,3989960.54675055,2942797.97100636,241
343,2024-09-21,4004783.04348558,2969790.47413977,243
339,2024-09-23,3989252.2457613,2960578.56074243,245
350,2024-09-23,4021833.40873985,2969199.86464445,245
354,2024-09-23,4029180.14921487,2955584.16817183,245
351,2024-09-25,4003380.38752765,2984238.86943703,247
359,2024-09-26,4002147.56026617,2940346.79947451,248
385,2024-09-26,3992316.7696394,2938291.55319097,248
416,2024-09-27,4000827.62260229,2944217.35952493,249
388,2024-09-28,4001155.25758141,2967170.05784112,250
508,2024-10-01,3995647.55710659,2937937.93884257,253
421,2024-10-02,4036567.04146584,2965997.18735169,254
455,2024-10-02,4001572.5312161,2970664.98037353,254
405,2024-10-03,4013438.7404391,2976922.34035516,255
436,2024-10-04,4010773.34435597,2977210.65828386,256
502,2024-10-05,4002200.2130589,2949821.59788884,257
430,2024-10-07,3992867.48847761,2962746.43927335,259
431,2024-10-07,4018970.27162437,2966573.79025922,259
454,2024-10-07,4015077.73792943,2975267.9127247,259
557,2024-10-08,3984774.82040586,2970760.81500115,260
435,2024-10-10,3981809.29004783,2954942.97917714,262
438,2024-10-10,4037069.5328527,2967445.49944682,262
466,2024-10-11,3988740.24911336,2942593.18657482,263
503,2024-10-11,4011041.82932558,2978795.25634378,263
649,2024-10-11,4020308.74922795,2966741.87690527,263
494,2024-10-12,3997434.15020843,2939797.36178901,264
477,2024-10-13,4017855.97051635,2966422.3212824,265
686,2024-10-13,3987726.68121045,2941922.92540735,265
706,2024-10-13,4002597.45624993,2964022.24862612,265
489,2024-10-14,4042758.35715577,2970356.11229627,266
496,2024-10-14,4019219.6107905,2965291.51573431,266
606,2024-10-14,3995956.83545506,2941510.79290734,266
476,2024-10-15,3992703.96679632,2961917.24343078,267
617,2024-10-16,4002348.44075291,2941140.3831507,268
506,2024-10-18,4015116.81738113,2963404.50936757,270
519,2024-10-18,4034214.49197958,2968561.42071764,270
533,2024-10-18,4017240.98081265,2971848.41244046,270
571,2024-10-18,4017471.67838425,2956395.73165671,270
699,2024-10-18,3998946.26933034,2946987.67735149,270
569,2024-10-19,4019821.0571387,2974901.68105678,271
697,2024-10-20,3980358.13046423,2952750.07264111,272
545,2024-10-21,4020829.82870101,2977873.6467911,273
785,2024-10-21,4018004.85116905,2964740.38496685,273
794,2024-10-21,4003568.5393346,2941594.71847153,273
582,2024-10-22,4006306.49732325,2976227.71147809,274
589,2024-10-22,3984367.46880736,2943262.38812195,274
707,2024-10-22,3991272.67579463,2960021.72205919,274
574,2024-10-23,3994417.69417379,2963134.93455149,275
666,2024-10-23,4008949.91587053,2975207.83071036,275
587,2024-10-24,4009002.14536561,2975684.86325261,276
576,2024-10-25,4025442.36187252,2972619.34596271,277
796,2024-10-25,4018488.40045633,2957180.92354526,277
845,2024-10-25,3978330.53278552,2955506.58866751,277
565,2024-10-26,4006570.32204861,2937452.70457342,278
602,2024-10-26,4011574.06434497,2978481.24678759,278
604,2024-10-26,3996477.25837805,2961141.49477323,278
632,2024-10-26,3990572.8836751,2952865.2882498,278
729,2024-10-26,3982723.85350206,2950405.72283926,278
824,2024-10-26,4007524.75880653,2978138.00799269,278
850,2024-10-26,4006567.62301447,2945038.44053648,278
616,2024-10-27,4043158.94975835,2968136.78315507,279
764,2024-10-27,4023121.46764924,2980177.47352466,279
618,2024-10-28,3995257.81709015,2961392.95119526,280
669,2024-10-28,4038686.56740517,2963764.61082479,280
810,2024-10-28,4015849.97510071,2965030.7634394,280
820,2024-10-28,3985735.659351,2939926.61000312,280
659,2024-10-29,4008675.2024108,2978296.40230083,281
835,2024-10-29,4012512.46318875,2944910.81995269,281
664,2024-10-30,4003866.33982953,2967828.33444738,282
665,2024-10-30,4012635.74264017,2949486.16262246,282
779,2024-10-30,3998085.41665101,2970072.77111533,282
690,2024-10-31,4011358.82317004,2980850.47439296,283
646,2024-11-01,3987873.81143072,2953745.82534227,284
745,2024-11-02,4037665.08842881,2965142.10605316,285
969,2024-11-02,4002528.79241605,2941781.60231736,285
720,2024-11-03,4017155.3397716,2953384.11113894,286
696,2024-11-05,4006915.53256813,2975248.38638737,288
1030,2024-11-05,4006205.8844079,2937544.82941776,288
1068,2024-11-05,4002044.46365502,2939985.61310617,288
716,2024-11-06,3981020.69092508,2936952.36575944,289
727,2024-11-06,3986713.36004024,2940220.66470657,289
1035,2024-11-06,3982283.45503024,2948965.55080392,289
773,2024-11-07,3996157.71607626,2941464.48370541,290
906,2024-11-07,4006018.76727149,2976265.40592248,290
1102,2024-11-07,4008546.04882125,2946436.43014852,290
746,2024-11-08,4040239.00661069,2959468.43776554,291
909,2024-11-08,3977583.8369179,2947519.30807967,291
937,2024-11-08,3987430.72010344,2958549.70666542,291
743,2024-11-10,4013007.17208151,2946064.35194469,293
783,2024-11-10,4029250.44340146,2954651.23328001,293
1241,2024-11-10,4002417.97691989,2972354.31909387,293
877,2024-11-11,4000257.98445824,2942253.22199461,294
975,2024-11-13,3984335.02354678,2941730.47314532,296
1215,2024-11-15,4018171.71692458,2975807.52164827,298
1002,2024-11-16,3987716.86871577,2955446.17594562,299
1264,2024-11-16,3979860.77218452,2947200.64422551,299
1357,2024-11-16,4031482.78211997,2954451.80374727,299
913,2024-11-17,4019678.11884428,2977601.52593357,300
1015,2024-11-17,4004020.27422776,2975605.10498024,300
1276,2024-11-17,3981994.16049342,2933546.3855707,300
931,2024-11-18,4003053.22308587,2979183.58781789,301
943,2024-11-18,3986588.94613981,2952173.57372978,301
964,2024-11-18,3981740.39852884,2936502.36610761,301
983,2024-11-19,3978292.54731011,2932836.02691233,302
1228,2024-11-19,3977770.27292087,2929573.38831691,302
1299,2024-11-19,4019811.66153034,2971851.75903643,302
1019,2024-11-20,3986113.60209369,2943147.62730746,303
1189,2024-11-20,3978842.21846003,2937792.35625345,303
1413,2024-11-20,3994252.85992176,2974785.2529834,303
